Speed,Pos,LSD,MSD,BSD,Time_Since_MSD
1,0,9999,9999,9999,20
1,0,9999,9999,9999,40
1,0,9999,9999,9999,60
1,0,9999,9999,9999,80
1,0,9999,9999,9999,100
1,0,9999,9999,9999,120
1,0,9999,9999,9999,140
1,0,9999,9999,9999,160
1,0,9999,9999,9999,180
1,0,9999,930,9999,200
1,0,9999,924,9999,220
1,0,9999,9999,9999,240
1,0,9999,9999,9999,260
1,0,9999,9999,9999,280
1,0,9999,9999,9999,300
1,0,9999,9999,9999,320
1,0,9999,9999,9999,340
1,0,9999,925,9999,360
1,0,9999,925,9999,380
1,0,9999,925,9999,400
1,0,9999,9999,9999,420
1,0,9999,9999,9999,440
1,0,9999,9999,9999,460
1,0,9999,9999,9999,480
1,0,9999,9999,9999,500
1,0,9999,9999,9999,520
1,0,9999,9999,9999,540
1,0,9999,9999,9999,560
1,0,9999,9999,9999,580
1,0,9999,9999,9999,600
1,0,9999,9999,9999,620
1,0,9999,9999,9999,640
1,0,9999,9999,9999,660
1,0,9999,9999,9999,680
1,0,9999,9999,9999,700
1,0,9999,9999,9999,720
1,0,9999,9999,9999,740
1,0,9999,9999,9999,760
1,0,9999,9999,9999,780
1,0,9999,9999,9999,800
1,0,9999,9999,9999,820
1,0,9999,9999,9999,840
1,0,9999,9999,9999,860
1,0,9999,9999,9999,880
1,0,9999,9999,9999,900
1,0,9999,9999,9999,920
1,0,9999,9999,9999,940
1,0,9999,9999,9999,960
1,0,9999,9999,9999,980
1,0,9999,9999,9999,1000
1,0,9999,9999,9999,1020
1,0,9999,9999,9999,1040
1,0,9999,9999,9999,1060
1,0,9999,9999,9999,1080
1,0,9999,9999,9999,1100
1,0,9999,9999,9999,1120
1,0,9999,9999,9999,1140
1,0,9999,9999,9999,1160
1,0,9999,9999,9999,1180
1,0,9999,9999,9999,1200
1,0,9999,9999,9999,1220
1,0,9999,9999,9999,1240
1,0,9999,9999,9999,1260
1,0,9999,9999,1080,1280
1,0,9999,9999,1080,1300
1,0,9999,9999,9999,1320
1,0,9999,9999,9999,1340
1,0,9999,9999,9999,1360
1,0,9999,9999,9999,1380
1,0,9999,9999,9999,1400
1,0,9999,9999,9999,1420
1,0,9999,9999,9999,1440
1,0,9999,9999,9999,1460
1,0,9999,9999,9999,1480
1,0,9999,9999,9999,1500
1,0,9999,9999,9999,1520
1,0,9999,9999,9999,1540
1,0,9999,9999,9999,1560
1,0,9999,9999,9999,1580
1,0,9999,9999,9999,1600
1,0,9999,9999,9999,1620
1,0,9999,9999,9999,1640
1,0,9999,9999,9999,1660
1,0,9999,9999,9999,1680
1,0,9999,9999,9999,1700
1,0,9999,9999,9999,1720
1,0,9999,9999,9999,1740
1,0,9999,9999,9999,1760
1,0,9999,9999,9999,1780
1,0,9999,9999,9999,1800
1,0,9999,9999,9999,1820
1,0,9999,9999,9999,1840
1,0,9999,9999,9999,1860
1,0,9999,9999,9999,1880
1,0,9999,9999,9999,1900
1,0,9999,9999,9999,1920
1,0,9999,9999,9999,1940
1,0,9999,9999,9999,1960
1,0,9999,9999,9999,1980
2,0,9999,9999,9999,2000
2,0.000833333,9999,9999,9999,2020
2,0.0166667,9999,9999,9999,2040
2,0.102917,9999,9999,9999,2060
2,0.14375,9999,9999,9999,2080
2,0.166667,9999,9999,9999,2100
2,0.208333,9999,9999,9999,2120
2,0.239583,9999,9999,9999,2140
2,0.279167,9999,9999,9999,2160
2,0.36125,9999,9999,9999,2180
2,0.39125,9999,9999,9999,2200
2,0.417083,9999,9999,9999,2220
2,0.447083,9999,9999,9999,2240
1,0.525,9999,9999,9999,2260
1,0.5675,9999,9999,9999,2280
1,0.594167,9999,9999,9999,2300
1,0.626667,9999,9999,9999,2320
1,0.64,9999,9999,9999,2340
1,0.651667,9999,9999,9999,2360
1,0.675417,9999,9999,9999,2380
1,0.690417,9999,9999,9999,2400
1,0.71125,9999,9999,9999,2420
1,0.780417,9999,9999,9999,2440
1,0.82375,9999,9999,9999,2460
1,0.8675,9999,9999,9999,2480
1,0.911667,9999,9999,9999,2500
1,0.99375,9999,9999,9999,2520
1,1.03292,9999,9999,9999,2540
1,1.06958,9999,9999,9999,2560
1,1.13792,9999,9999,9999,2580
1,1.17083,9999,9999,9999,2600
1,1.59958,9999,9999,9999,2620
1,1.61875,9999,9999,9999,2640
1,1.65625,9999,9999,9999,2660
1,1.675,9999,9999,9999,2680
1,1.69292,9999,9999,9999,2700
1,1.72667,9999,9999,9999,2720
1,1.76083,9999,9999,9999,2740
1,1.77833,9999,9999,9999,2760
1,1.81375,9999,9999,9999,2780
1,1.82958,9999,9999,9999,2800
1,1.86125,9999,9999,9999,2820
1,1.87583,9999,9999,9999,2840
1,1.90417,9999,9999,9999,2860
2,1.91792,9999,9999,9999,2880
2,1.94792,9999,9999,9999,2900
2,1.97917,9999,9999,9999,2920
2,2.10042,9999,9999,9999,2940
2,2.17083,9999,9999,9999,2960
1,2.24042,9999,9999,9999,2980
1,2.26542,9999,9999,9999,3000
1,2.29917,9999,9999,9999,3020
1,2.31083,9999,9999,9999,3040
1,2.33125,9999,9999,9999,3060
1,2.34,9999,9999,9999,3080
1,2.34792,9999,9999,9999,3100
1,2.36583,9999,9999,9999,3120
